rank,company_legal_name,country,city,type,makes_entree,assembles_packs,frh_capability,certifications_claimed,military_customers_claimed,product_closest_to_spec,kcal_per_meal,shelf_life_claim,website,phone,email,confidence,notes
1,"AmeriQual Group, LLC / AmeriQual Packaging",USA,"Evansville, IN",OEM+ASM,Yes,Yes,"Sources (Luxfer)","UNKNOWN - not verified","US DoD/DLA (MRE prime; UGR-A award $221.06M Aug 2025)","US military MRE; APack (dormant)","MRE ~1250; APack 1140-1310","5+ yr typical",ameriqual.com,"+1 812-867-1444 / +1 812-421-4876",UNKNOWN,"FACT (search)","Assembler named on customer reference pouch. Commercial/export MOQ UNKNOWN"
2,"SOPAKCO, Inc.",USA,"Mullins, SC",OEM+ASM,Yes,Yes,"Offers military FRH","UNKNOWN - not verified","US DoD/DLA (MRE prime since 1943)","Sure-Pak 12 - components identical to military MRE","900-1250","UNKNOWN",sopakco.com / surepak-12.com,UNKNOWN,sphillips@sopakco.com,"FACT (search)","BEST FOR PILOT. Published wholesale programme with minimum purchase"
3,"Baxters North America, Inc. dba The Wornick Co.",USA,"Cincinnati, OH",OEM+ASM,Yes,Yes,Sources,"UNKNOWN - not verified","US DoD/DLA (MRE prime; first MRE delivery 1981)","US military MRE","~1250","UNKNOWN",UNKNOWN,UNKNOWN,UNKNOWN,"FACT (search)","Best backup / competitive lever"
4,"XMRE (brand) / NEX-XOS",USA,"Pembroke Park, FL",ASM,UNKNOWN,Yes,Yes,"USDA/FSIS, FDA","Militaries, governments, intl organisations (unsubstantiated)","XMRE meals","UNKNOWN","UNKNOWN",xmremeals.com,UNKNOWN,UNKNOWN,"FACT (search)","RED FLAG: factory identity unverified"
5,"MRE STAR, L.L.C.",USA,UNKNOWN,ASM,UNKNOWN,Yes,Yes,"FSSC 22000, HACCP, USDA/FSIS/FDA",UNKNOWN,"MRE Star standard & halal","UNKNOWN","UNKNOWN",mrestar.com,UNKNOWN,UNKNOWN,"FACT (search)","Customises in customer language + country insignia - strong fit for Spanish private label. RED FLAG: factory unverified"
6,"Jomipsa",Spain,"Mutxamel, Alicante",OEM+ASM,Yes,Yes,UNKNOWN,"ISO 9001, ISO 14001, ISO 22000","Spanish Army (UTE Raciones), UAE, LatAm via Servivac","UAE Type C: 3 meals/24hr bagged MRE-style","3400/day = ~1133/meal","UNKNOWN",jomipsa.com,UNKNOWN,UNKNOWN,"FACT (search)","BEST OVERALL for this deal. Native Spanish. EU-Mexico FTA. Channel conflict via Servivac"
7,"UNIFO Gida ve Savunma Sanayi Ticaret A.S.",Turkey,"Gebze, Kocaeli",OEM+ASM,Yes,Yes,UNKNOWN,"UNKNOWN - not verified",UNKNOWN,"Combat ration packs; MREs","UNKNOWN","UNKNOWN",unifo.com.tr,"+90 262 751 33 25",UNKNOWN,"FACT (search)","CHEAPEST CREDIBLE. Claims world's largest ration filling plant - UNVERIFIED. 320 staff"
8,"ARPOL",Poland,"Zielona Gora",OEM+ASM,Yes,Yes,"Yes - self-heating can","ISO 9001:2015, ISO 22000, NATO AQAP 2110:2016, NCAGE 1126H","Polish Armed Forces; Haiti/Moscow/Montenegro ops","Daily/combat rations (24hr focus)","UNKNOWN","UNKNOWN",UNKNOWN,UNKNOWN,UNKNOWN,"FACT (search)","Strongest verified defence credentials in Europe. Product match weaker (24hr/canned)"
9,"Golden Season Pte Ltd",Singapore,Singapore,OEM+ASM,Yes,Yes,UNKNOWN,"HALAL, HACCP, ISO 9001, ISO 22000",UNKNOWN,"Halal MRE ration packs built to specification","UNKNOWN","UNKNOWN",gseason.com,UNKNOWN,UNKNOWN,"FACT (search)","BEST ASIAN. UEN 198403734E. Est. 1982"
10,"Dewina Food Industries Sdn Bhd (Brahim's Dewina)",Malaysia,UNKNOWN,OEM+ASM,Yes,Yes,UNKNOWN,"JAKIM Halal, Veterinary Health Mark","Regional armies; UN Peacekeeping Forces","Halal retort MRE","UNKNOWN","2 years (BELOW requirement)",brahimsfoodisforsharing.com,UNKNOWN,UNKNOWN,"FACT (search)","World's first halal retort facility. Shelf life claim below 24-36mo requirement"
11,"Rationtech Europe / Rationtech Global",Netherlands,UNKNOWN,ASM,Claimed,Yes,UNKNOWN,UNKNOWN,"350 customers in 36 countries (unsubstantiated)","MRE ration packs, 800+ products","UNKNOWN","48 months",rationtech.nl,UNKNOWN,UNKNOWN,"FACT (search)","RED FLAG: distributed manufacturing model - identify the actual plant"
12,"Africor Holdings",South Africa,UNKNOWN,ASM,UNKNOWN,Yes,UNKNOWN,"ISO 22000, ISO 9001, HALAL (claimed)",UNKNOWN,"12hr and 24hr ration packs","UNKNOWN","UNKNOWN",africor.co.za,UNKNOWN,UNKNOWN,"FACT (search)","RED FLAG: primarily uniform/apparel maker; verify food factory ownership"
13,"Vestey Foods UK (Purple Foodservice Solutions Ltd)",UK,UNKNOWN,ASM,No,Yes,UNKNOWN,UNKNOWN,"UK MoD; Norway, Sweden, Denmark, Malta, Ireland; NAMSA catalogue","British Army ration packs (24hr ORP)","UNKNOWN","UNKNOWN",vesteyfoods.co.uk,UNKNOWN,UNKNOWN,"FACT (search)","Procurement/assembly model. 24hr focus - product match weak"
14,"Alonso Hipercas",Spain,"Alcorcon",OEM/ASM,UNKNOWN,Yes,UNKNOWN,UNKNOWN,"Spanish Army (UTE Raciones member)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"FACT (search)","Approach as part of Spanish cluster"
15,"Teogenes Ruiz (TR)",Spain,"Tarancon",OEM/ASM,UNKNOWN,Yes,UNKNOWN,UNKNOWN,"Spanish Army (UTE Raciones member)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"FACT (search)","Approach as part of Spanish cluster"
16,"Podravka",Croatia,UNKNOWN,OEM,Yes,Yes,UNKNOWN,"NATO STANAG 2937 compliance claimed","Croatian Armed Forces","Individualni Borbeni Obrok Tip 3",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"FACT (search)","Large listed food company; ration is a small line"
17,"Unique Presence Sdn Bhd (UPSB)",Malaysia,UNKNOWN,UNKNOWN,UNKNOWN,Yes,UNKNOWN,UNKNOWN,UNKNOWN,"Combat ration packs, halal ready meals",UNKNOWN,UNKNOWN,upsb.com.my,UNKNOWN,UNKNOWN,"FACT (search)","OEM vs distributor status UNKNOWN"
18,"D'Era Pouch Industries Sdn. Bhd.",Malaysia,UNKNOWN,OEM,Yes,Yes,UNKNOWN,UNKNOWN,"Malaysian Armed Forces","MRE products",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"FACT (search)","Thin data - needs direct verification"
19,"Charoen Pokphand Foods (CPF)",Thailand,UNKNOWN,OEM,Yes,UNKNOWN,UNKNOWN,UNKNOWN,"Royal Thai Army","Thai Army rations",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"FACT (search)","Huge retort/export capacity. Approach corporate export sales"
20,"MRE International (division of Snippets)",South Africa,UNKNOWN,"DIST/ASM UNKNOWN",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"SA 24hr ration packs",UNKNOWN,UNKNOWN,mre-international.com,UNKNOWN,UNKNOWN,"FACT (search)","Likely distributor - verify"
21,"Outdoor Cuisine (via Serac)",South Africa,UNKNOWN,OEM,Yes,UNKNOWN,UNKNOWN,UNKNOWN,"Military organisations (unsubstantiated)","Ready to eat meals",UNKNOWN,UNKNOWN,outdoorcuisine.co.za,UNKNOWN,UNKNOWN,"FACT (search)",""
22,"LYOFOOD",Poland,"Kielce",OEM,Yes,No,No,UNKNOWN,"Military ration pack component supplier","Freeze-dried meal items",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"FACT (search)","Component supplier only - not a full-meal source"
23,"Luxfer Magtech",USA,UNKNOWN,"OEM (component)",No,No,"Yes - sole US military FRH supplier",UNKNOWN,"US Armed Forces + international militaries","TRUETECH Flameless Ration Heater",n/a,n/a,luxfermagtech.com,UNKNOWN,UNKNOWN,"FACT (search)","FRH only. Contact if sourcing heaters separately"
24,"Servivac",Chile,Santiago,DIST,No,UNKNOWN,No,UNKNOWN,"Chilean, Ecuadorian, Uruguayan armed forces","Jomipsa MRE rations for LatAm",n/a,n/a,UNKNOWN,UNKNOWN,UNKNOWN,"FACT (search)","CHANNEL CONFLICT - Jomipsa's LatAm JV. Do not route the Mexico deal through them"
