rank,name,type,based,why_fit,primary_handle,website_or_channel,social_style,notes
1,Wrist Aficionado,Company + faces,Miami / NY / Beverly Hills,Closest analog to Timepiece Trading - built entirely on social; sells to athletes/celebrities (Mayweather etc.); constant Reels of celeb pickups & trades,@wristaficionado,wristaficionado.com,IG-heavy viral reels,Vet recent press
2,CRM Jewelers,Company (owner-fronted),Miami,"1M+ follower network, clients in 150+ countries, celebrity clients; daily buy/sell/trade + livestream-style content",@crmjewelers,crmjewelers.com,"1M+ IG, celeb reveals",Strong reactive fit
3,Roman Sharf (Luxury Bazaar),Individual personality,"Southampton, PA","THE individual dealer-personality - 400k+ YouTube Grey Market no-holds-barred series, $130M business, celeb guests; exactly Neel dealer-as-content model",@romansharf,luxurybazaar.com / YT Roman Sharf,YouTube-first livestreams,Ideal personality pick
4,Icebox (Diamonds & Watches),Company + Jooma family,Atlanta,"Cornerstone of rap culture - Lil Baby, Gunna, Young Thug, 21 Savage, Polo G; huge social, in-store celeb videos",@icebox,iceboxdiamonds.com,IG/TikTok/YT celeb walk-ins,Watches + jewelry crossover
5,TraxNYC (Maksud Agadjani),Individual personality,NY Diamond District,"Viral YouTube + street-interview/price-reveal content, celebrity jeweler & watch dealer; extremely reactive/meme-adjacent style",@traxnyc / @maksudagadjani,traxnyc.com / YT TraxNYC,YouTube/IG/TikTok viral,Highest brainrot-adjacent energy
6,Rafaello & Co (Gabriel Jacobs),Personality + company,New York,"Jay-Z trusted jeweler; deep celebrity roster, watches + custom; strong social",@rafaelloandco,rafaelloandco.com,IG celeb content,Elite celeb access
7,Wristcheck (Austen Chu / horoloupe),Personality + platform,Hong Kong / NY,"Jay-Z & Mbappe-backed; Austen Chu is a Gen-Z social-native personality (grew from @horoloupe), YouTube + livestreams",@wristcheck / @horoloupe,wristcheck.com / YT Wristcheck,IG/YouTube Gen-Z,Best next-gen fit
8,Avi & Co (Avi Hiaeve),Personality + company,Manhattan / Miami / Aspen,"Celebrity watch-reveal content, high-profile clients; front-facing dealer personality",@aviandco / @avihiaeve,aviandco.com,IG celeb reveals,Celeb-reveal native
9,Watch Anish (Anish Bhatt),Individual personality,London / global,"One of the most recognizable watch personalities on IG; luxury lifestyle + watches, huge reach",@watchanish,watchanish.com,IG mega-reach,Reach play; less transactional
10,Ben Baller (Ben Yang),Individual personality,Los Angeles,"Celebrity jeweler/watch flipper, massive social + podcast; rapper/NBA clients; watch deals & reactions on social",@benballer,benballer.com,IG/podcast/social,Watches secondary to jewelry - vet
