"Rank","Full name","Current title","Current organization","Location","Candidate type","Banksy connection classification","Banksy evidence summary","Sales evidence summary","Entrepreneurial evidence","Relevant artists handled","Notable employers","Public professional website","LinkedIn URL","Other public professional contact route","Total score","Evidence confidence","Outreach priority","Key concerns","Source URLs","Last verified date"
"1","Joe Syer","Co-founder; Head of Urban & Contemporary Art","MyArtBroker","London, UK","Banksy specialist","Direct","Co-founded MyArtBroker (2010), described by the firm as the largest private dealer of Banksy's work; firm states 17+ years trading Urban & Contemporary prints/editions/originals on the secondary market and that he has spent his career trading Banksy prints and uniques. Publishes recurring Banksy market reports and is a recurring broadcast commentator (LBC).","Leads the specialist side of a brokerage built on Banksy secondary-market transactions; authors the firm's multi-year Banksy Market & Value Report. No individually attributed transaction values published.","Co-founded and scaled MyArtBroker from 2010 into a named Banksy market authority with a proprietary market-report franchise.","Banksy; Harland Miller; Conor Harrington; Hockney; Warhol","MyArtBroker","https://www.myartbroker.com/team/joe-syer","https://www.linkedin.com/in/joe-syer-6a73909/","MyArtBroker firm contact page","88","Medium","Monitor","Co-owner of the single most direct competitor to an ArtLife Banksy practice; realistic availability close to zero. Most biographical detail is self-published by his own firm. Any approach carries a high confidentiality and market-signalling risk.","https://www.myartbroker.com/team/joe-syer | https://www.myartbroker.com/our-people | https://www.myartbroker.com/report-the-banksy-market | https://www.linkedin.com/in/joe-syer-6a73909/","2026-09-17"
"2","Danny (Daniel) Herbert","Head of Department, Urban & Contemporary Art; Co-owner","Tate Ward Auctions","London, UK","Auction professional","Strong adjacent","Heads an auction department that sells Banksy within a dedicated Urban & Contemporary Art category; Tate Ward runs recurring urban art sales featuring Banksy, Haring, Thierry Noir and Stik. Banksy exposure is department-level rather than a personally branded Banksy specialism.","Strongest published hard numbers of any candidate found: started the Urban Art department at Chiswick Auctions and achieved over GBP 1.3 million hammer in its first year; subsequently curated and built 8 auctions across Urban and Contemporary genres selling over GBP 13 million of art in a single year.","Built the Chiswick Auctions urban art department from nothing, then co-founded Tate Ward Auctions with Nigel Shorthouse, positioned explicitly as disrupting the traditional auction model. Prior 20-year career in financial markets; entered the trade via his own art advisory.","Banksy; Keith Haring; Thierry Noir; Stik; Faile","Tate Ward Auctions; Chiswick Auctions","https://www.tateward.com/staff/danny-herbert/","https://www.linkedin.com/in/daniel-herbert-a10b0924/","Tate Ward contact page","83","Medium-High","Immediate","Co-owner of Tate Ward, so moving means leaving his own business; would likely require a partnership/equity structure rather than a hire. Figures are published by his own employers and are not independently audited. Auction-side experience does not automatically transfer to private-treaty dealing.","https://www.tateward.com/staff/danny-herbert/ | https://www.tateward.com/meet-the-team/ | https://www.tateward.com/departments/urban-art/ | https://www.linkedin.com/in/daniel-herbert-a10b0924/ | https://www.artsy.net/auction/tate-ward-urban-and-contemporary-art-22","2026-09-17"
"3","Acoris Andipa","Director","Andipa Gallery / Andipa Editions","London (Knightsbridge), UK","Banksy specialist","Direct","Among the deepest verifiable Banksy dealing records found: Andipa was the first gallery to stage a major secondary-market Banksy exhibition (2008, reported 25,000+ visitors); he states he sold his first Banksy in the mid-2000s and has since sold hundreds of Banksy paintings and thousands of prints. Co-curated museum Banksy exhibitions with Stefano Antonelli (Rome 2016; Fondazione Terzo Pilastro; Palazzo Ducale, Genoa).","Gallery-level secondary market sales across nearly 20 years of Banksy trading; museum exhibition curation as a credibility and sourcing channel. Volume claims are self-reported in interviews rather than independently documented.","Runs and has repositioned a long-established family gallery (est. 1967) around Banksy and contemporary secondary market; launched Andipa Editions as a separate online editions channel.","Banksy; Warhol; Picasso; Matisse; Damien Hirst","Andipa Gallery","https://andipagallery.com/","Not located","Andipa Gallery contact page; andipaeditions.com","83","Medium-High","Monitor","Established principal of a family business dating to 1967, not a rising candidate; effectively unavailable. Directly competitive with ArtLife's Banksy ambitions. Volume claims are self-reported.","https://thelondonmagazine.org/interview-acoris-andipa-on-banksy/ | https://andipagallery.com/ | https://andipa.com/node/2152 | http://andipa.com/info/staff | https://andipaeditions.com/pest-control/","2026-09-17"
"4","Ben Cotton","Founder & Director","Hang-Up Gallery (Hang-Up Pictures)","London (Hoxton), UK","Banksy specialist","Direct","Founded and runs a gallery that publicly positions itself as a worldwide Banksy specialist with c.20 years buying and selling Banksy prints and original works; created the 'Banksy Bunker', a dedicated permanent Banksy display room. Recurring market commentator on Banksy.","Built a business from an online-only operation to a purpose-built gallery; the firm states it places Banksy originals and editions with collectors globally. No individually attributed transaction values published.","Textbook founder narrative: started Hang-Up in 2008 from his spare bedroom with a Clerkenwell PO Box for credibility, before online art selling was normal; after 10 years in Dalston, financed and delivered an 8-month purpose-built gallery redevelopment in Hoxton.","Banksy; KAWS; Harland Miller; Hockney; Emin; Kusama; Murakami","Hang-Up Gallery","https://hanguppictures.com/team/ben-cotton","https://www.linkedin.com/in/ben-cotton-20ab819/","Hang-Up Gallery contact page","80","Medium-High","Monitor","Owner-operator of a direct competitor; availability very low. Most claims are self-published by his gallery. Would only move for a materially larger platform or equity outcome.","https://hanguppictures.com/team/ben-cotton | https://hanguppictures.com/about | https://www.hackneygazette.co.uk/news/22932522.ben-cotton-the-gallery-run-spare-bedroom-p-o-box-clerkenwell-sound-credible/ | https://madeinshoreditch.co.uk/2011/12/10/art-in-shoreditch-interview-with-founder-of-hang-up-pictures-ben-cotton/","2026-09-17"
"5","Rosh Boroumand","Co-Founder & Director","GraffitiStreet","Chichester, West Sussex, UK","Banksy specialist","Direct","Publicly positioned as one of the UK's leading Banksy specialists; over a decade of specialist experience stated across provenance research, Pest Control certification, edition history, condition reporting and collector acquisition strategy. GraffitiStreet specialises in authenticated works by Banksy, Invader and Stik and staged 'Banksy Editions: Volume I'.","Firm states he has sourced rare prints selling for six-figure sums. Transitioned from an online platform to a physical flagship gallery in a restored Victorian building at 25a West Street, Chichester - a growth signal corroborated by independent local press.","Co-founded GraffitiStreet in 2014 with Donna Haden and scaled it over 10 years from online-only to a flagship gallery, mirroring ArtLife's own online-to-physical trajectory.","Banksy; Invader; Stik","GraffitiStreet","https://graffitistreet.com/","Not located","GraffitiStreet gallery appointment booking; Chichester gallery contact page","79","Medium","Immediate","Most descriptive claims are self-published on his own site; the six-figure sourcing claim is promotional and unquantified. Co-owner of his business, so a move needs a partnership structure. Note carefully: competence in navigating Pest Control certification is NOT a relationship with Pest Control Office and must not be represented as one.","https://graffitistreet.com/ | https://graffitistreet.com/how-to-authenticate-a-banksy-pest-control-provenance-and-collector-confidence/ | https://www.sussexexpress.co.uk/news/new-urban-art-gallery-opens-in-chichester-4902759 | https://www.sussexexpress.co.uk/news/chichester-gallery-puts-the-spotlight-on-banksy-5096815 | https://graffitistreet.com/celebrating-10-years-grand-opening-of-our-new-gallery-space-in-chichester-england/","2026-09-17"
"6","Jasper Tordoff","Specialist Broker (Banksy Specialist)","MyArtBroker","London, UK","Banksy specialist","Direct","Named Banksy specialist at the firm that describes itself as the largest private dealer of Banksy's work. Handles acquisition and sale of secondary-market Banksy alongside Hockney, Warhol and Riley, with stated expertise in print market dynamics. Regular broadcast commentator on Banksy, including Sky News coverage of Banksy's London Zoo series.","Transacts as a broker on secondary-market works at a Banksy-led brokerage; previously at Christie's in the Modern British department. No individually attributed transaction values published.","No founding evidence. Operates inside an explicitly disruptive, technology-led brokerage rather than a traditional gallery - relevant transferable experience, but partner-level entrepreneurial evidence is not yet demonstrated.","Banksy; David Hockney; Andy Warhol; Bridget Riley; L.S. Lowry","MyArtBroker; Christie's","https://www.myartbroker.com/team/jasper-tordoff","https://www.linkedin.com/in/jasper-tordoff-07b600137/","MyArtBroker firm contact page","78","Medium","Immediate","Employed specialist rather than a proven principal - partner-level P&L capability is unproven and is the main diligence question. Likely bound by confidentiality and possibly non-solicit terms regarding MyArtBroker's client book. Public profile is largely firm-published.","https://www.myartbroker.com/team/jasper-tordoff | https://www.myartbroker.com/our-people | https://www.myartbroker.com/videos/articles/sky-news-banksy-london-zoo-video | https://www.linkedin.com/in/jasper-tordoff-07b600137/","2026-09-17"
"7","Taylor Curry","Director, Modern & Contemporary Art","Heritage Auctions","New York, USA","Auction professional","Strong adjacent","One of the founding specialists of Heritage's 'In Focus' and Urban Art sales, a recurring US auction series that has offered Banksy alongside KAWS, Futura and Murakami. Banksy exposure is through department sales rather than a personally branded Banksy specialism.","Documented internal progression at a major US house from Junior Specialist to Consignment Director to Director, described as instrumental in the growth of the Modern & Contemporary department - a promotion trail that is credible evidence of commercial responsibility.","Built a sale franchise (Urban Art) inside an established house rather than founding a business. Partner-level entrepreneurial risk appetite is untested.","Banksy; KAWS; Futura; Murakami; RETNA","Heritage Auctions; Ingleby Gallery","https://fineart.ha.com/urban-art/","https://www.linkedin.com/in/taylorcurry/","Heritage Auctions consignment director listing (fineart.ha.com)","75","Medium-High","Immediate","Long tenure at one employer (since 2013) - untested outside a large institutional platform. Banksy specialism is adjacent, not primary. Would need to convert auction-side consignor relationships into private-treaty dealing.","https://fineart.ha.com/heritage-auctions-press-releases-and-news/taylor-curry-named-director-of-modern-and-contemporary-art-at-heritage-new-york.s?releaseId=4400 | https://fineart.ha.com/c/ref/consignment-directors.zx | https://fineart.ha.com/urban-art/ | https://www.linkedin.com/in/taylorcurry/ | https://hypebeast.com/2020/6/heritage-signature-urban-art-auction-gone-far-beyond-russell-williamson-collection-kaws-supreme-futura-murakami","2026-09-17"
"8","Arnaud Oliveux","Specialist / Auctioneer, Urban Art","Artcurial","Paris, France","Auction professional","Direct","Contemporary art specialist in charge of urban art sales at Artcurial; credited with establishing Artcurial early as a genuine urban art specialist house. Oversaw Artcurial's Banksy sales including the closely reported October 2018 Paris sale held days after the Sotheby's shredding.","Runs a recurring urban art sale franchise ('The Urban Project') featuring Banksy, Invader, Futura 2000, JonOne, Shepard Fairey and Vhils. Sale-level rather than individually attributed results.","Established and sustained Artcurial's urban art category as a market position, but within an established auction house rather than as a founder.","Banksy; Invader; Futura 2000; JonOne; Shepard Fairey; Vhils","Artcurial","https://www.artcurial.com/en/specialties/limited-edition","Not located","Artcurial department contact page","75","Medium","Secondary","Long-tenured at Artcurial and strongly identified with the French market; relocation or US-facing pivot unproven. Little English-language published evidence of individual deal attribution. Availability unknown.","https://www.artcurial.com/en/articles/the-urban-project-sales-make-a-comeback-to-artcurial | https://www.thelocal.fr/20181024/paris-auction-house-holds-its-breath-ahead-of-banksy-sale-after-shredding/ | https://monacolife.net/banksy-and-invader-among-the-big-names-at-artcurials-upcoming-urban-art-auction/ | https://blog.artsper.com/fr/la-minute-arty/maitre-arnaud-oliveux-commissaire-priseur-chez-artcurial-interview/","2026-09-17"
"9","Huw Lougher","Founder & Managing Director","Lougher Contemporary","Bristol, UK","Independent advisor","Relevant market","Deals Banksy editions as part of a blue-chip editions programme; Banksy is one of several artists handled rather than a declared specialism. No evidence of Banksy originals or high-value Banksy private sales.","Ten-year track record running a globally trading online editions business; independently profiled twice by Artnet News on market strategy, which is meaningful third-party validation of commercial standing rather than self-published copy.","Strongest pure founder evidence in the longlist: left corporate finance at KPMG with no art-world background and founded Lougher Contemporary in 2015, scaling it to a decade-old internationally trading gallery built around online sales - structurally the closest analogue to ArtLife's own model.","Banksy; David Shrigley; Tracey Emin; Damien Hirst; Hockney; Warhol","Lougher Contemporary; KPMG","https://www.loughercontemporary.com/","Not located","Lougher Contemporary contact page","75","Medium-High","Immediate","Banksy exposure is genuine but shallow relative to declared Banksy specialists, and concentrated in the sub-GBP 10,000 editions band rather than the originals market ArtLife wants to lead. Owner of his own business; a move requires a partnership structure.","https://news.artnet.com/art-world/7-questions-huw-lougher-lougher-contemporary-2331453 | https://news.artnet.com/art-world/lougher-contemporary-art-market-trends-2575434 | https://www.loughercontemporary.com/pages/about | https://www.loughercontemporary.com/blogs/editorial/10-years-of-lougher-contemporary-our-team-interviews-founder-huw-lougher-on-a-decade-in-the-art-market","2026-09-17"
"10","Tim Luke","Executive Director, Contemporary & Street Art","Julien's Auctions","Los Angeles, USA","Auction professional","Direct","Leads the contemporary and street art category at a US house that ran the high-profile 'Under Duress: The Banksy Archive of Steve Lazarides' auction - among the most significant Banksy-provenance sales held in the US.","35+ years in auction and appraisal; began at Christie's New York where he rose to Director of the Collectibles Department and auctioneer; interviewed by Artsy specifically on expanding the street art market.","Co-founded TreasureQuest Appraisal Group as owner/founder before returning to an institutional role; later headed Hindman's Independent Appraisals division.","Banksy; street art and contemporary; celebrity memorabilia","Julien's Auctions; Christie's New York; Hindman; TreasureQuest Appraisal Group","https://www.juliensauctions.com/en/auctions/street-art","Not located","Julien's Auctions department contact page","75","Medium","Secondary","With 35+ years of experience he is established rather than rising, and sits outside the 'junior partner' career stage ArtLife described. Career centre of gravity is appraisal and celebrity/collectibles as much as fine art. Current role status should be confirmed before contact.","https://www.broadwayworld.com/los-angeles/article/Juliens-Auctions-Names-Tim-Luke-Executive-Director-of-Contemporary-and-Street-Art-Auctions-20170710 | https://www.artsy.net/article/artsy-auctions-julien-s-auctions-executive-director-tim-luke-top-lots-expanding-street-art-market | https://www.juliensauctions.com/en/articles/banksy-under-duress-steve-lazarides-archive-auction-juliens-triumph-art-intrigue | https://www.liveauctioneers.com/news/people/tim-luke-to-head-hindmans-new-independent-appraisals-division/","2026-09-17"
"11","Shane Xu","Specialist, Modern & Contemporary Prints & Multiples (title to confirm)","Roseberys London","London, UK","Auction professional","Relevant market","Works in a department whose Urban & Contemporary Prints & Multiples sales regularly feature Banksy, including a September sale led by rare Kusama and Banksy prints. Banksy exposure is category-level, not a declared specialism.","Rose from intern to Head of Sales over six years at Bloomsbury Auctions; proficiency stated in sales, business development and client relationship management across primary and secondary markets.","Was invited by Sworders to create a Prints department for them from scratch - direct, transferable evidence of building a new revenue line, which is precisely the task ArtLife's junior partner faces.","Banksy; Kusama; Warhol; Hirst; modern and contemporary editions","Roseberys London; Sworders; Bloomsbury Auctions","https://www.roseberys.co.uk/departments/prints-and-multiples","https://www.linkedin.com/in/shane-xu-90542418/","Roseberys department contact page","71","Medium-Low","Secondary","IDENTITY/TITLE CONFLICT: one search summary described her as Head of Department, but Roseberys' own staff page lists Ed Plackett as Head of Department, Prints & Multiples. Her exact current title is unresolved and must be confirmed before any approach. Banksy connection is the weakest among auction candidates shortlisted.","https://www.roseberys.co.uk/news/shane-xu-joins-the-team | https://www.roseberys.co.uk/staff/ed-plackett | https://www.roseberys.co.uk/departments/prints-and-multiples | https://www.roseberys.co.uk/news/rare-kusama-and-banksy-prints-lead-september-prints-multiples-auction | https://www.linkedin.com/in/shane-xu-90542418/","2026-09-17"
"12","Steven Sulley","Founder","Woodbury House","London (Mayfair) & Dubai, UAE","Entrepreneurial wildcard","Relevant market","Woodbury House lists Banksy works including a Girl with Balloon edition, but its identity is built on post-street and graffiti art - Richard Hambleton, Blek le Rat, DEFER, Lee Quinones, TOXIC. Banksy is peripheral to the programme.","Stated expertise in premium and secondary-market art acquisition, advisory, valuation, collaborations, publishing and IP exploitation; built Woodbury House into the recognised destination for Richard Hambleton and serves as an official advisor to the Richard Hambleton Archive.","Self-described serial entrepreneur; founded Woodbury House in 2014 and expanded it internationally to Mayfair and Dubai; Forbes Business Council member.","Richard Hambleton; Blek le Rat; DEFER; Lee Quinones; TOXIC; Banksy","Woodbury House","https://woodburyhouseart.com/about/","Not located (personal site: stevensulley.co.uk)","Woodbury House contact page","70","Medium","Secondary","Banksy connection is genuinely thin - classifying him as a Banksy candidate would overstate the evidence. Heavy use of 'art investment' and 'asset class' framing in his own marketing warrants careful compliance diligence. Owner of his business; availability low.","https://woodburyhouseart.com/about/ | https://theorg.com/org/woodbury-house/org-chart/steven-sulley | https://www.stevensulley.co.uk/woodbury-house | https://councils.forbes.com/profile/Steven-Sulley-Founder-Woodbury-House/6acde6f0-35ad-4ed4-b907-4548ea5aa81f | https://fineartshippers.com/banksy-artworks-at-woodbury-house-in-london/","2026-09-17"
"13","Rebecca Tooby-Desmond","Specialist, Head of Sale, Editions","Phillips","London, UK","Auction professional","Strong adjacent","Heads sales in Phillips' Editions department, where Banksy has been a recurring and often headline presence across Evening & Day Editions sales from 2017 through 2025. Banksy exposure is consistent and material but department-level.","Head of Sale responsibility and auctioneer at a major international house; Phillips' London Editions auctions have realised results reported at the multi-million pound level (e.g. a GBP 4.4m London Editions auction).","No founding or department-building evidence located. Institutional career path.","Banksy; twentieth-century and contemporary editions","Phillips","https://www.phillips.com/editions","https://uk.linkedin.com/in/rebecca-tooby-desmond-316754a2","Phillips Editions department page","69","Medium","Secondary","Employer-level results must not be attributed to her individually - Phillips sale totals reflect a department, not one person. Entrepreneurial evidence is absent, which is a material gap for a junior-partner role. Exact current title varies across third-party aggregators and should be confirmed.","https://www.phillips.com/team/filter/DepartmentName=Editions | https://www.phillips.com/editions | https://www.phillips.com/article/29445502/london-editions-auction-realizes-%C2%A34-4-million | https://uk.linkedin.com/in/rebecca-tooby-desmond-316754a2","2026-09-17"
"14","Joseph Bannan","Gallery Director","Woodbury House","London (Mayfair), UK","Gallery professional","Relevant market","Directs a gallery that carries Banksy works within a post-street and graffiti art programme; Banksy is not the gallery's core specialism. No evidence of personally led Banksy transactions.","Runs the commercial floor of a Mayfair gallery with a Dubai second location; published interview evidence of a collector-education led acquisition approach and of hiring/managing gallery staff.","Moved from private collector to buying and selling works as a dealer, and then into a gallery directorship - a genuine self-starting trajectory, though within someone else's business.","Richard Hambleton; Blek le Rat; DEFER; Lee Quinones; Banksy","Woodbury House","https://woodburyhouseart.com/about/","https://uk.linkedin.com/in/joseph-bannan-642701112","Woodbury House contact page","66","Medium-Low","Secondary","Banksy evidence is weak and mostly inferred from gallery inventory rather than personal transactions. Career-stage and commercial-performance evidence is thin. Would need substantial verification before being treated as a Banksy hire.","https://artplugged.co.uk/woodbury-house-gallery-director-joseph-bannan-talks-street-art-collecting-and-exhibitions/ | https://woodburyhouseart.com/about/ | https://uk.linkedin.com/in/joseph-bannan-642701112","2026-09-17"
"15","Madeleine White","Senior Sales and Acquisitions","Hang-Up Gallery","London, UK","Gallery professional","Strong adjacent","Holds the senior sales and acquisitions role at a gallery that publicly positions itself as a worldwide Banksy specialist dealing signed and unsigned Banksy prints and originals. Personal Banksy transaction evidence is not separately published.","Owns the sales and acquisitions function at a Banksy-led gallery - a role that necessarily combines sourcing and closing. Publishes client-facing content on why collectors should sell through galleries.","No founding evidence; career built through auction houses into a senior commercial gallery role.","Banksy; KAWS; Harland Miller; Dave White; contemporary editions","Hang-Up Gallery; Roseberys London; Chiswick Auctions; Woolley and Wallis","https://hanguppictures.com/team/madeleine-white-2","https://www.linkedin.com/in/madeleine-white-786146115/","Hang-Up Gallery contact page","65","Medium","Secondary","Strong career-stage fit for 'rising', but her individual Banksy sales record is not publicly evidenced and is inferred from her role. Partner-level ambition unverified. Employer is a direct competitor, so approach confidentiality matters.","https://hanguppictures.com/team/madeleine-white-2 | https://www.linkedin.com/in/madeleine-white-786146115/ | https://hanguppictures.com/sell-art | https://hanguppictures.com/artists/banksy","2026-09-17"
