rank,creator,tier_confidence,primary_platform,profile_url,follower_count,count_basis,audience_tier,range_flag,brands_promoted,referral_code,business_contact,primary_format,example_link,confidence,notes
1,TimTheTatman,ref-above-1M,Kick/YouTube,https://kick.com/timthetatman,macro (multi-M),reputation ESTIMATE,macro,above,Roobet; SkinClub (event),(partner),none,varies,,low-med,ABOVE the <=1M focus; real promoter kept for context. Roobet partner 2026 + SkinClub event; mainstream reach
2,Steve Will Do It,ref-above-1M,X/Instagram,https://x.com/stevewilldoit,"1,004,182 X (LunarCrush 2026-07-19)",LunarCrush verified,macro,above,PackDraw,Stevefree,none,varies,,low-med,ABOVE the <=1M focus; real promoter kept for context. Celebrity; explicit PackDraw partnership; high cost + brand-safety risk
3,Paul Cuffaro,ref-above-1M,YouTube,https://www.youtube.com/channel/UCKFtfFitaK83yBc0rlg9m1A,macro (likely >1M),reputation ESTIMATE,macro,above,PackDraw,CUFFARO (unconfirmed),none,varies,,low-med,ABOVE the <=1M focus; real promoter kept for context. Lifestyle audience (adjacent); PackDraw sponsorship asserted; code unverified
4,Anomaly,ref-above-1M,YouTube,https://www.youtube.com/@Anomaly,~3.3M,reputation ESTIMATE,macro,above,case-opening (critic/creator),none current,none,varies,,low-med,ABOVE the <=1M focus; real promoter kept for context. Huge case-opening creator; also critiques gambling
5,Nadeshot,ref-above-1M,YouTube/Twitch,https://www.twitch.tv/nadeshot,macro (multi-M),reputation ESTIMATE,macro,above,SkinClub (event),(event),none,varies,,low-med,ABOVE the <=1M focus; real promoter kept for context. 100 Thieves owner; SkinClub $240k event participant
6,Trainwreckstv,ref-above-1M,Kick,https://kick.com/trainwreckstv,"675,558 X (LunarCrush 2026-07-19)",LunarCrush verified,macro,in,gambling/casino,(own),none,varies,,low-med,ABOVE the <=1M focus; real promoter kept for context. Top casino streamer; not a target-brand promoter but niche anchor
7,Xposed,1-verified,Kick,Kick https://kick.com/xposed ; YouTube https://www.youtube.com/channel/UC0U5sBczEr2ASp4T6hSLvag,N/A (macro reputation),tier-estimate (unverified),macro,uncertain,PackDraw (branded 'Xposed case'),branded case (code unseen),none,Livestream + dedicated video,,med,Large gambling streamer; tier may exceed 1M - verify.
8,neokCS,3-niche-relevant,YouTube,https://www.youtube.com/@neokCS,"549,000 YT (LunarCrush 2026-07-19)",LunarCrush verified,macro,in,case-opening niche (brand tie TBD),TBD,none,CS2 case-opening / skins content,,low,Real niche creator; confirm which target brand (if any) they promote + live counts
9,Orangie,1-verified,Twitch,Twitch https://www.twitch.tv/orangieyt ; Kick https://kick.com/orangie ; X https://x.com/orangie ; YouTube https://www.youtube.com/watch?v=o2pvnwCtc0U,"355,663 X (LunarCrush 2026-07-19)",LunarCrush verified,mid,in,PackDraw (flagship code),ORANGIE,none,Live pack-openings + 'world record' VODs,,low-med,Flagship PackDraw code (high conf); profile-to-human mapping only medium; tier may exceed 1M - verify.
10,WatchGamesTV,1-verified,YouTube,YouTube https://www.youtube.com/@watchgamestv ; X https://twitter.com/watchgamestv,"573,000 YT (LunarCrush 2026-07-19)",LunarCrush verified,macro,in,HypeDrop (branded case),WatchGamesTV,linktr.ee/watchgamestv,Dedicated video + branded case,,med,Branded HypeDrop creator-case; Linktree contact hub. ~530k = within 1M.
11,FURI,3-niche-relevant,YouTube,https://www.youtube.com/@FURI,"538,000 YT (LunarCrush 2026-07-19)",LunarCrush verified,macro,in,case-opening niche (brand tie TBD),TBD,none,CS2 case-opening / challenges,,low,Real niche creator; confirm which target brand (if any) they promote + live counts
12,JuicyCSGO,1-verified,YouTube,YouTube https://www.youtube.com/channel/UC_i5slkwxbZKPeh9x2QWkSw ; X https://x.com/juicycsg,~529k SUBS ESTIMATE (2026),observed,macro,in,HypeDrop (branded 'Juicy' case),Juicy (string unconfirmed),none,Dedicated video + branded case,,med,~529k = within 1M.
13,HaiX,3-niche-relevant,YouTube,https://www.youtube.com/@HaiX,"529,000 YT (LunarCrush 2026-07-19)",LunarCrush verified,macro,in,case-opening niche (brand tie TBD),TBD,none,CS2 case-opening / challenges (RU),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
14,Dima_wallhacks,3-niche-relevant,YouTube,https://www.youtube.com/@Dima_wallhacks,"203,000 YT (LunarCrush 2026-07-19)",LunarCrush verified,mid,in,case-opening niche (brand tie TBD),TBD,none,CS2 case-opening / skins,,low,Real niche creator; confirm which target brand (if any) they promote + live counts
15,ProdigyDDK,1-verified,YouTube,YouTube https://www.youtube.com/@prodigyddk ; Instagram https://www.instagram.com/prodigy.ddk/ ; Twitch https://twitch.tv/prodigyddk,"258,000 YT (LunarCrush 2026-07-19)",LunarCrush verified,mid,in,HypeDrop (branded case),hypedrop.com/r/<code> (unconfirmed),none (site prodigyddk.com),Long-form + Shorts; sub-spend stunts,,med,
16,PimpCSGO (Jacob Winneche),3-niche-relevant,YouTube,https://www.youtube.com/@PIMP,~250k SUBS ESTIMATE,tier-estimate (unverified),mid,in,case-opening niche (brand tie TBD),TBD,none,CS2 pro-insight + case content,,low,Real niche creator; confirm which target brand (if any) they promote + live counts
17,Cheesur,3-niche-relevant,Kick,https://kick.com/cheesur,~203k Kick ESTIMATE,tier-estimate (unverified),mid,in,case-opening niche (brand tie TBD),TBD,none,CS2 -> slots/casino crossover,,low,Real niche creator; confirm which target brand (if any) they promote + live counts
18,Classybeef,3-niche-relevant,Kick,https://kick.com/classybeef,~194k Kick ESTIMATE,tier-estimate (unverified),mid,in,case-opening niche (brand tie TBD),TBD,none,slots/casino collective,,low,Real niche creator; confirm which target brand (if any) they promote + live counts
19,lito_gmbl,1-verified,TikTok,TikTok https://www.tiktok.com/@lito_gmbl ; X https://twitter.com/lito_gmbl,~163.3k TikTok ESTIMATE (~2023),observed,mid,in,"HypeDrop, Stake",HypeDrop deposit code (+Stake tip),none,Short-form TikTok battles,,med,Strong short-form/TikTok fit.
20,Maherco,3-niche-relevant,Kick,https://kick.com/maherco,N/A,tier-estimate (unverified),unknown,in,case-opening niche (brand tie TBD),TBD,none,Kick gambling/casino (AR),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
21,Renyan,3-niche-relevant,Twitch,https://www.twitch.tv/renyan,N/A,tier-estimate (unverified),unknown,in,case-opening niche (brand tie TBD),TBD,none,CS2 case-opening (NO),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
22,Aiden Gambles,1-verified,YouTube,YouTube https://www.youtube.com/@AidenGambles ; X https://x.com/aiden_gambles,"5,930 YT (LunarCrush 2026-07-19)",LunarCrush verified,nano,in,CSGORoll (branded case),own case (code not isolated),none (Discord community),Cross-site openings,,med,
