company,url,segment,legal_model,business_model,founded,hq,founders_leadership,target_market,geography_availability,partners,celebrity_involvement,funding_or_disclosed_performance,customer_promise,positioning,key_products,displayed_price_examples,traffic_proxy,social_audience,review_signal,advertising_visibility,regulatory_or_risk_notes,within_segment_rank,rank_methodology,evidence_confidence,primary_source_url,access_date,research_file
"Hims & Hers Health, Inc.",https://www.hims.com / https://www.forhers.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"DTC subscription telehealth; owns affiliated 503A/503B pharmacies; categories: weight loss (GLP-1 incl. compounded and branded), sexual health, hair, dermatology, mental health, testosterone, menopause; peptides/longevity lane in preparation","2017 (public co., NYSE: HIMS)","San Francisco, CA","Andrew Dudum (co-founder, CEO); public company",Mass-market US adults 25-55; expanding to longevity/performance buyers,US (50 states); UK via acquisition (per prior public filings - not re-verified this session),"Affiliated in-house pharmacies (Ohio, Arizona) and US manufacturing for peptides announced by CEO; specific partners for peptide line not disclosed",unknown (no evidence gathered this session),"Q2 2026 revenue $753M (Fierce Healthcare, Aug 2026). CEO said company will sell already-legal peptides (NAD+, sermorelin, glutathione) by end of 2026 and is ready to 'move extremely quickly' if FDA green-lights six wellness peptides (Endpoints; Bloomberg 2026-08-10). Analysts size peptides market at $2.2B-$3.3B (Reuters via Yahoo, 2026-08-12).","Company-reported: 'best-in-class peptides experience' with US-manufactured products, clinically led guidance and ongoing blood testing","Scaled, brand-led consumer health platform moving into peptides/longevity as a category extension","Peptides launch (planned, pre-launch as of access date); Weight loss (GLP-1) program",unknown (site inaccessible this session),no public estimate found (tools inaccessible this session),unknown,unknown (Trustpilot/BBB inaccessible this session),not checked,Longevity/anti-aging framing of NAD+/sermorelin is off-label; watch for efficacy claims,1,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://www.fiercehealthcare.com/health-tech/hims-hers-posts-753m-q3-revenue-it-preps-push-peptide-market,2026-09-02,research/01_telehealth_companies.json
Ro (Roman Health Ventures),https://ro.co,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"DTC telehealth with in-house pharmacy network; Ro Body GLP-1 program (branded Wegovy/Zepbound and compounded semaglutide), ED, hair, fertility, testosterone",2017,"New York, NY","Zachariah Reitano (CEO), Rob Schutz, Saman Rahmanian (co-founders) - widely reported; not re-verified this session",US adults; weight-loss buyers,US (50 states) - widely reported,Ro-affiliated pharmacies; Novo Nordisk/Lilly branded supply partnerships widely reported (not re-verified),unknown,"unknown this session (historically ~$1B raised, $7B valuation 2022 - not re-verified)",Personalized weight-loss and men's/women's health treatment with prescription delivery,"Scaled generalist telehealth; GLP-1 peptides (semaglutide/tirzepatide) are the only 'peptide' offering identified - no longevity/wellness peptide line (NAD+, sermorelin) found",Ro Body; Ro ED,unknown (site inaccessible),no public estimate found,unknown,unknown,not checked,none observed,14,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://plexusdx.com/blogs/learn/ro-peptides,2026-09-02,research/01_telehealth_companies.json
Henry Meds,https://henrymeds.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Flat monthly, no-membership-fee telehealth for compounded GLP-1s, HRT/TRT and a small curated set of wellness peptides",2022,"San Francisco, CA (registered address Las Vegas, NV per directories)","Nathaniel Armer (founder, CTO)",Price-sensitive US adults seeking compounded GLP-1s; men's/women's hormone patients,US; state list not verified,Third-party compounding pharmacies (names not verified),unknown,"$2.2M raised (investors Secways, Vye Ventures) per Crunchbase/Tracxn; revenue undisclosed",Affordable compounded medications with no membership fee,Low-price GLP-1 leader adding a limited peptide menu,Oral semaglutide program; Wellness peptides (curated set),from $149/month (third-party report),no public estimate found,unknown,unknown,not checked,none observed,16,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://www.crunchbase.com/organization/henry-meds,2026-09-02,research/01_telehealth_companies.json
Marek Health,https://marekhealth.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Premium, lab-driven 'guided optimization' telehealth: 60+ biomarker panels, TRT/HRT, peptides, GLP-1; per-cycle/per-vial medication pricing plus consults",2021,unknown (US),"Derek (More Plates More Dates, co-founder) and Mike Stratton (co-founder)","Performance/optimization-minded men (MPMD audience), high willingness to pay",US; state availability not verified,Third-party compounding pharmacies (not named),"Founder-influencer Derek (MPMD YouTube, millions of viewers)",No disclosed funding; founder publicly targets billion-dollar scale (third-party). Revenue undisclosed.,Comprehensive diagnostics and protocols 'well beyond basic TRT',Premium optimization clinic; charges 2-3x budget TRT clinics (third-party),TRT; BPC-157; Sermorelin and other peptides; GLP-1 therapy,"per-cycle pricing, not published; ~$225-350/month medication (third-party); year-one all-in $2,500-4,000+; ~$350 per 15 mg vial (third-party)",no public estimate found,Founder channel (MPMD) reported at millions of viewers; company accounts not checked,unknown,not checked,BPC-157 sold during transitional FDA status; performance framing,12,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://marekhealth.com/team-marek/derek-mpmd,2026-09-02,research/01_telehealth_companies.json
Ivím Health,https://ivimhealth.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Membership ($74.99/mo per third parties) + separately priced medications: compounded GLP-1s, sermorelin ODT, NAD+ injections, lipotropic injections; 24/7 care team",2021,"Columbus, OH","Anthony Kantor (co-founder, technology) and Dr. Taylor Kantor (co-founder, cardiac surgeon)",US adults seeking weight loss and 'body sculpting'/wellness add-ons,All 50 states (company PR),Third-party compounding pharmacies (not named),unknown,"Bootstrapped (no outside funding per company); ranked No. 38 on 2026 Inc. 5000 (PR Newswire, 2026-08-11); ~100 licensed providers","Same-day appointments, 24/7 care team, low medication pricing","High-growth, bootstrapped GLP-1 platform with peptide/NAD+ upsells",Sermorelin tablets ('body sculpting'); NAD+ weekly injections; Lipotropic fat-burner injections; Compounded tirzepatide/semaglutide,$129/1 month; $297/2 months (third-party); $249/1 month; $375/2 months (third-party); $99/month (third-party); unknown (medication priced separately from $74.99 membership),no public estimate found,unknown,ConsumerAffairs listing exists (rating not retrievable this session),not checked,'Body sculpting' framing for sermorelin ODT is unsupported by approved labeling,7,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://www.prnewswire.com/news-releases/ivim-health-named-no-38-on-the-2026-inc-5000-list-the-most-prestigious-ranking-of-americas-fastest-growing-private-companies-302848491.html,2026-09-02,research/01_telehealth_companies.json
Fountain (Fountain TRT),https://fountain.net (also fountaintrt.com); fountain.health could not be verified,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"$199/mo all-inclusive TRT/HRT membership (medication, shipping, consults, lab interpretation, messaging)",unknown,unknown,Co-founded by a board-certified urologist specialising in testosterone deficiency (name not confirmed this session),Men with clinically low testosterone; women's HRT,US; state list not verified,Partner labs for bloodwork; compounding pharmacies not named,unknown,unknown,Concierge online TRT with urologist-led care,Focused TRT specialist; does NOT offer peptides (third-party),TRT membership,$199/month (third-party),no public estimate found,unknown,Trustpilot 4.4-4.9/5 across 'hundreds' of reviews (third-party summary; exact count not retrievable),not checked,none observed,23,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://www.telehealthally.com/providers/fountain-trt,2026-09-02,research/01_telehealth_companies.json
Eden (tryeden.com / eden.health),https://www.tryeden.com / https://www.eden.health,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Membership ($39 first month, then $99/mo per third party) plus medication: compounded GLP-1s, sermorelin (injection and ODT), NAD+ injections, other wellness Rx",unknown,unknown,unknown,US adults seeking weight loss and wellness peptides,US; state list not verified,Third-party compounding pharmacies (not named),unknown,Not disclosed (note: 'Eden Health' employer-care company acquired by Centivo 2025 is a different entity),'Consistent pricing for every dose and medication' (company blog),Weight-loss-first platform expanding to wellness peptides,Sermorelin; NAD+ injections; Weight loss (GLP-1),"$15/shot, from $119 first month (third-party); from ~$126 first month on 3-month plan (third-party)",no public estimate found,unknown,unknown,not checked,NAD+ 'longevity/healthy aging' framing unsupported by approved labeling,15,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://www.seekpeptides.com/blog/articles/eden-peptides,2026-09-02,research/01_telehealth_companies.json
Mochi Health,https://joinmochi.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,Marketplace-style telehealth (providers + pharmacies + software) across 15 treatment areas; GLP-1 weight loss core; NAD+ and sermorelin add-ons,2022,"San Francisco, CA","Dr. Myra Ahmad, MD (founder, CEO)",US adults seeking affordable GLP-1 care,US; state list not verified,Multiple partner pharmacies (marketplace model; names not verified),unknown,"$650K seed (Mar 2022); cash-flow positive; 500,000+ patients served (CEO Today, Jul 2026; HLTH podcast Apr 2026)","Affordable, transparent consumer healthcare",Capital-efficient GLP-1 leader adding longevity peptides,Mochi NAD+; Sermorelin; GLP-1 weight loss,,no public estimate found,unknown,unknown,not checked,'FDA-approved peptides' phrasing in blog is imprecise for compounded sermorelin,6,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://www.ceotodaymagazine.com/2026/07/myra-ahmad-cash-flow-positive-mochi-health/,2026-09-02,research/01_telehealth_companies.json
"Noom Med (Noom, Inc.)",https://www.noom.com/med,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Behaviour-change app + telehealth Rx; acquired licensed 503A/503B compounding pharmacy Tailor Made Compounding (Apr 2026) to expand into peptides and healthy-aging (sermorelin, NAD+)",Noom 2008; Noom Med ~2022,"New York, NY","Saeju Jeong & Artem Petakov (Noom co-founders); Geoff Cook (CEO) - widely reported, not re-verified",US adults seeking weight loss; expanding to healthy aging,US; state list not verified,"Tailor Made Compounding (wholly owned subsidiary, Kentucky, 40,000 sq ft; 40+ peptide catalog)",unknown,Acquisition of Tailor Made Compounding announced 2026-04-02 (HLTH; MobiHealthNews); Noom historically raised ~$650M (not re-verified),Medication plus psychology-based program,Vertically integrating (own pharmacy) to move from GLP-1 into peptides/longevity,Microdose GLP-1Rx; GLP-1Rx; GLP-1Rx Plus; Branded GLP-1 telehealth track; Peptides / healthy aging (announced),"$129 first month, then $249/mo; $149 first month then $99/mo program fee; $149 first month, then $299/mo; $79 first 4 weeks, then $199/mo (third-party)",no public estimate found,unknown,unknown,not checked,none observed,8,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://hlth.com/insights/news/noom-acquires-tailor-made-compounding-to-expand-preventive-care-and-healthy-aging-offerings-2026-04-02,2026-09-02,research/01_telehealth_companies.json
Found,https://joinfound.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,Telehealth weight-loss program pairing medication (GLP-1s and other Rx) with community/coaching (third-party),unknown,unknown,unknown,US adults seeking medically supported weight loss,unknown,unknown,unknown,unknown,Personalized medication plus community support,"GLP-1 weight-loss platform; publishes peptide education (e.g., 'Peptides to Watch in 2026') but no non-GLP-1 peptide product verified",Found weight-loss program,,no public estimate found,unknown,unknown,not checked,none observed,26,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://formblends.com/articles/comparison-hub/best-telehealth-weight-loss-2026,2026-09-02,research/01_telehealth_companies.json
