name,vertical,primary_platform,profiles,followers,tier,website,email,brands_or_notes,crossover_flag,break_fit,crossover,reachability,confidence,source,est_per_post_usd,est_monthly_usd,documented_deal
GFed,prediction-market,X,X https://x.com/gfedgocrazy,N/A,unknown,,,Polymarket sponsored creator,prediction,2,3,2,med,modash/WSJ coverage,N/A ESTIMATE,N/A ESTIMATE,Polymarket sponsored creator (~$2-3k/mo category band) [WSJ]
Moses the Jeweler,prediction-market,X,X https://x.com/mosesjewelry,N/A,unknown,,,Jeweler promoting Polymarket -> jewelry/collectible x prediction CROSSOVER,prediction+collectible,3,5,3,med,modash/WSJ,N/A ESTIMATE,N/A ESTIMATE,Polymarket sponsored post (~$500-3k/mo band cited category-wide) [WSJ/modash]
John Wang,prediction-market,X,X (crypto influencer),N/A,unknown,,,Hired by Kalshi (crypto influencer),prediction,2,3,2,med,The Block,N/A ESTIMATE,N/A ESTIMATE,
Evelyn Parker,prediction-market,Instagram,IG/TikTok (entrepreneur/influencer),N/A,unknown,,,Polymarket ambassador,prediction,2,3,2,low-med,press,N/A ESTIMATE,N/A ESTIMATE,
Pushpek Sidhu,prediction-market,TikTok,"TikTok (actor/influencer, Ontario CA)",~4M-view viral video,unknown,,,Kalshi copied his FIFA-prediction video (uncredited),prediction,2,3,2,med,Yahoo/AA,N/A ESTIMATE,N/A ESTIMATE,
Benny Johnson,prediction-market,X,X/YouTube (political commentator),macro,macro,,,Polymarket/Kalshi paid posts (disclosure issues),prediction,1,2,3,med,Slate/NPR,"$6,000-30,000","$90,000-700,000+",
George Makihara,prediction-market,TikTok,TikTok,N/A,unknown,,,Polymarket 'fake $100k win' cohort - BRAND-SAFETY RISK,prediction,2,2,1,med,WSJ,N/A ESTIMATE,N/A ESTIMATE,
T-Pain,prediction-market,X,X/IG (musician),macro,macro,,,Named in Polymarket/Kalshi sponsored-ads coverage,prediction,1,2,3,low-med,Slate,"$6,000-30,000","$90,000-700,000+",
Lacy,gambling-stream,Kick,Kick https://kick.com/lacy,macro ESTIMATE,macro,,,Roobet partner,gambling,3,3,2,med,win.gg/press,"$6,000-30,000","$90,000-700,000+",
Corinna Kopf,gambling-stream,Instagram,Instagram https://instagram.com/corinnakopf,macro ESTIMATE,macro,,,Stake partner,gambling,3,3,2,med,win.gg/press,"$6,000-30,000","$90,000-700,000+",
Roshtein,gambling-stream,Kick,Kick https://kick.com/roshtein,macro ESTIMATE,macro,,,Stake partner,gambling,3,3,2,med,win.gg/press,"$6,000-30,000","$90,000-700,000+",Long-time Stake top-paid partner [win.gg]
Adin Ross,gambling-stream,Kick,Kick https://kick.com/adinross,"~2,010,000",macro,,,Rainbet partner,gambling,3,3,2,med,win.gg/press,"$6,000-30,000","$90,000-700,000+","Stake ~$1M/week; then Rainbet ~$100M advance + ~$50M/yr, 2yr (reports vary; $50M signing bonus cited) [vegasslotsonline]"
