creator,tier,platforms,follower_counts,business_contact,primary_format,referral_code,example_links,engagement_rate,brand_fit,audience_quality,est_partnership_cost,reachability,priority_score,rationale
WatchGamesTV,macro,YouTube https://www.youtube.com/@watchgamestv; X https://twitter.com/watchgamestv; Linktree https://linktr.ee/watchgamestv,"YouTube ~535k-559k SUBS ESTIMATE (mid-2026, conflicting snippets; not eyeballed)",linktr.ee/watchgamestv (public hub; no direct email observed),Dedicated video + branded on-site 'creator case',WatchGamesTV (HypeDrop -> 3 free cases; also Gamdom 15% rakeback),https://www.youtube.com/watch?v=uOhtjbBl6wk ; https://www.youtube.com/watch?v=nwYQY5KAdow,N/A (profile fetch blocked; no measurable public-post sample),5,4,$3k+ ESTIMATE,3,3.90,Core HypeDrop affiliate with own branded case + active code; macro reach; Linktree gives a real contact path. Engagement imputed (neutral); low-confidence on exact counts.
ChrisG,nano-micro,YouTube (promo video https://www.youtube.com/watch?v=MD6zLZVgLeY; exact channel unconfirmed),N/A,tiltedtwinz@pm.me (publicly listed beside promo; ONLY verified business email in set),Dedicated promo video (code-as-hook),CHRISG (DaddySkins -> 10% free balance),https://www.youtube.com/watch?v=MD6zLZVgLeY,N/A,5,2,$100-500 ESTIMATE,5,3.90,"Cheap, on-niche, and the only creator with a public business email = easy reachable micro test. LOW confidence: tiny/unverified audience, channel identity unconfirmed. Score lifted by reachability; treat as a low-cost pilot, not an anchor."
ProdigyDDK,mid,YouTube https://www.youtube.com/@prodigyddk; Twitch https://twitch.tv/prodigyddk; Instagram https://www.instagram.com/prodigy.ddk/; site https://prodigyddk.com,YouTube ~251k-270k SUBS ESTIMATE (2026; conflicting snippets),none found (personal site exists; no email observed),Long-form + Shorts video; branded on-site 'creator case'; subscriber-spend stunts,via hypedrop.com/r/<CODE> (exact string unconfirmed),https://www.youtube.com/watch?v=t0M0qO7b_ms ; https://www.youtube.com/watch?v=IqRVp6NTOwE,N/A,5,4,$500-3k ESTIMATE,2,3.70,Established HypeDrop creator-case partner with multi-platform mid reach; strong niche fit. Exact code string and counts unverified.
JuicyCSGO,macro,YouTube https://www.youtube.com/channel/UC_i5slkwxbZKPeh9x2QWkSw; X https://x.com/juicycsg,YouTube ~529k SUBS ESTIMATE (2026 snippet),none found,Dedicated video; branded on-site 'Juicy' creator case,Juicy creator case on HypeDrop (code string unconfirmed),https://www.youtube.com/watch?v=7dm23x6rH1Y,N/A,5,4,$3k+ ESTIMATE,2,3.70,Macro CS:GO case-opening crossover with branded HypeDrop case; high niche fit. Code string and exact counts unverified.
Bouchonnoir,micro-mid,YouTube https://www.youtube.com/@Bouchonnoir; leaderboard https://bouchonnoir.gg,N/A (French-language CS case-opening channel),none found (runs own .gg leaderboard hub),Long-form case-opening / battles,"BOUCHON (CSGORoll -> csgoroll.com/r/BOUCHON, 5% deposit bonus; also SkinClub)",https://www.youtube.com/watch?v=Xx_W6IUxUxc ; https://www.youtube.com/watch?v=QJVffe3mjLs,N/A,5,4,$500-3k ESTIMATE,2,3.70,Active multi-year CSGORoll partner with own leaderboard infra (implies real audience); strong niche fit. Audience size unverified.
Xposed,macro,Kick https://kick.com/xposed; YouTube https://www.youtube.com/channel/UC0U5sBczEr2ASp4T6hSLvag,N/A (large gambling streamer; macro ESTIMATE on reputation),none found,Livestream openings + dedicated video; branded on-site 'Xposed case',Xposed branded case on PackDraw (code string not observed),https://www.youtube.com/watch?v=Aa1AYALSpKM ; https://www.youtube.com/watch?v=CCWnKrYfLCo,N/A,5,4,$3k+ ESTIMATE,2,3.70,Deep PackDraw integration (own named case) = strong brand fit and reach. Exact code and counts unverified; macro tier is reputation-based ESTIMATE.
Aiden Gambles,micro-mid,YouTube https://www.youtube.com/@AidenGambles; X https://x.com/aiden_gambles; Discord https://discord.com/invite/aidengambles; hub https://aidengambles.gg,N/A,"none found (Discord is community, not booking)",Cross-site case-opening; branded CSGORoll case,CSGORoll partnered creator + own case (personal code not isolated),https://www.youtube.com/watch?v=n95W103Cw9o,N/A,5,3,$500-3k ESTIMATE,2,3.50,Named CSGORoll partner with branded case + leaderboard hub. Specific code and audience size unverified.
Sloth (SlothCSGO),micro-mid,YouTube https://www.youtube.com/@SlothCSGO; X https://x.com/slothhcsgo; hub https://slothrewards.com,N/A,none found (slothrewards.com is a code/leaderboard hub),Long-form all-in / big-win sessions,SLOTH (CSGORoll; via slothrewards.com leaderboard),https://www.youtube.com/watch?v=Hoyt20bd-gY,N/A,5,3,$500-3k ESTIMATE,2,3.50,CSGORoll affiliate with dedicated rewards site + leaderboard; clear niche fit. Audience size unverified.
Jules (Julsy),micro,YouTube https://www.youtube.com/channel/UCrUFQtoCMdDZ06whZQodFuA; X https://x.com/JulsyCS; Kick JULSY,N/A,none found,Long-form sessions; branded CSGORoll case; live on Kick,JULES (CSGORoll),https://www.youtube.com/watch?v=Z1BW_RzLzv8 ; https://www.youtube.com/watch?v=N6b_nSJwMjU,N/A,5,3,$100-500 ESTIMATE,2,3.50,"CSGORoll partner with own branded case + code, multi-platform incl. live Kick. Counts unverified."
Steve Will Do It,macro,X https://x.com/stevewilldoit; Instagram https://www.instagram.com/stevewilldoit; site https://stevewilldoit.com,macro ESTIMATE (well-known NELK affiliate; no live counter observed),none found (realistically reachable via NELK mgmt; not publicly listed),X partnership posts + IG Reels giveaways; big-deposit openings,Stevefree (PackDraw),https://x.com/stevewilldoit/status/2011132283609379264 ; https://www.instagram.com/reel/DWSH09xiWqu/,N/A,5,3,$3k+ ESTIMATE (celebrity-tier),2,3.50,"Huge reach + explicit current PackDraw partnership ('my friend doom13'). HIGH cost and HIGH brand-safety/disclosure risk (giveaway-driven, informal disclosure). Reachable via NELK but not publicly listed."
