name,vertical,primary_platform,profiles,followers,tier,website,email,brands_or_notes,crossover_flag,break_fit,crossover,reachability,confidence,source
Moses the Jeweler,prediction-market,X,X https://x.com/mosesjewelry,N/A,unknown,,,Jeweler promoting Polymarket -> jewelry/collectible x prediction CROSSOVER,prediction+collectible,3,5,3,med,modash/WSJ
UnlistedLeaf,pokemon-collectible,YouTube,YouTube https://youtube.com/@UnlistedLeaf ; IG @unlistedleaf,~2.7M YT / 110k IG,macro,,,Pokemon TCG breaker/opener,collectible+break-mechanic,5,4,2,med,feedspot/socialveins/press
Deep Pocket Monster,pokemon-collectible,YouTube,YouTube (@DeepPocketMonster) ; IG @deeppocketmonsterofficial,~1.6M,macro,,,Pokemon TCG opener/collector,collectible,5,4,2,med,feedspot/socialveins/press
RealBreakingNate,pokemon-collectible,YouTube,YouTube (@RealBreakingNate),macro ESTIMATE,macro,,,Pokemon TCG BREAKER (pack battles),collectible+break-mechanic,5,4,2,med,feedspot/socialveins/press
Leonhart,pokemon-collectible,YouTube,YouTube (@Leonhart),macro ESTIMATE,macro,,,Pokemon TCG opener/hype,collectible,5,4,2,med,feedspot/socialveins/press
PokeRev,pokemon-collectible,YouTube,YouTube (@PokeRev),macro ESTIMATE,macro,,,Pokemon TCG opener/breaker,collectible+break-mechanic,5,4,2,med,feedspot/socialveins/press
Randolph (Randolph Pokemon),pokemon-collectible,YouTube,YouTube (@Randolph),mid-macro,macro,,,Pokemon TCG opener/collector,collectible,5,4,2,med,feedspot/socialveins/press
rogerrips,pokemon-collectible,IG,IG https://instagram.com/rogerrips,~73.1k IG,micro,,,Pokemon TCG BREAKER/rips,collectible+break-mechanic,5,4,2,med,feedspot/socialveins/press
Gio The Pokemon Puller,pokemon-collectible,IG,IG (Gio),~11k IG,micro,,,Pokemon TCG puller/opener,collectible,5,4,2,med,feedspot/socialveins/press
PokiChloe,pokemon-collectible,YouTube,YouTube (@PokiChloe),mid ESTIMATE,mid,,,Pokemon TCG opener/collector,collectible,5,4,2,med,feedspot/socialveins/press
