"Candidate","Claim","Claim category","Source title","Source URL","Publication date","Access date","Direct quote or concise paraphrase","Source quality","Confidence","Notes"
"ArtLife (company)","ArtLife Gallery was founded in 2015 by Avery Andon and was one of the first online-only blue-chip galleries.","Company context","Art and Design Gallery & Exhibitions in Miami, Florida","https://artlife.com/about/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: founded 2015 by veteran art advisor and manager Avery Andon; one of the first online-only galleries, enabling collectors to buy and sell art online worldwide.","Primary (subject's own site)","High","Self-published by the subject company; consistent across Artsy and Artnet partner profiles."
"ArtLife (company)","ArtLife moved its headquarters and exhibition spaces to Miami in 2019.","Company context","ArtLife Gallery on Artnet","https://www.artnet.com/galleries/art-life-gallery/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: in 2019 ArtLife moved its headquarters and exhibition spaces to the heart of Miami.","Reputable art-market platform","Medium-High","Artnet gallery profiles are partner-supplied but editorially hosted."
"ArtLife (company)","ArtLife's roster spans blue-chip (Warhol, Haring, Basquiat, Picasso) and street art (Banksy, KAWS, Alec Monopoly, Space Invader, Os Gemeos, RETNA).","Company context","ArtLife Gallery | Artists, Art for Sale, and Contact Info","https://www.artsy.net/partner/artlife-gallery","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: exclusive curated blue chip art from Warhol, Haring, Basquiat and Picasso through to street art legends including Banksy, KAWS, Alec Monopoly, Space Invader, Os Gemeos and RETNA.","Reputable art-market platform","High","Corroborated on artlife.com and artnet."
"ArtLife (company)","ArtLife operates an active Banksy consignment and secondary-market funnel and anchors its authentication messaging on Pest Control Office.","Company context","Complete Guide to Pest Control Authentication","https://artlife.com/news/pest-control-authentication/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: verification begins and ends with Pest Control Office, the only body authorised to authenticate Banksy; ArtLife connects buyers with vetted secondary market inventory.","Primary (subject's own site)","High","Directly relevant to candidate fit: ArtLife's positioning is authentication-led."
"Avery Andon","Prior to the art world Andon worked in music and entertainment with Universal/Republic, Epic Records and Sony/ATV, and developed Alec Monopoly's career.","Company context","Avery Andon - Founder - www.ArtLife.com","https://www.linkedin.com/in/averyandon/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: several years in music and entertainment (Universal/Republic, Epic Records, Sony/ATV) on artist development and marketing; TV/film with WME, Bunim-Murray and VICE; developed street artist Alec Monopoly into a widely recognised artist with 8-figure annual sales.","Public professional profile","Medium","Self-authored professional profile; the Alec Monopoly sales figure is self-reported and unaudited."
"Joe Syer","Co-founded MyArtBroker in 2010 and leads the specialist side of the business as Head of Urban and Contemporary Art.","Role/title","Joe Syer | MyArtBroker","https://www.myartbroker.com/team/joe-syer","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: co-founded MyArtBroker in 2010 with over 17 years trading Urban & Contemporary prints, editions and originals on the secondary market; leads the specialist side of the business.","Primary (employer site)","Medium-High","Self-published; corroborated by his public LinkedIn profile and independent Talk Business interview with his co-founder."
"Joe Syer","MyArtBroker describes itself as the largest private dealer of Banksy's work.","Banksy-direct","Banksy Art for Sale: Prints & Originals | MyArtBroker","https://www.myartbroker.com/artist-banksy","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: as the largest private dealer of Banksy's work, the firm offers discreet off-market access to Banksy originals and uniques.","Primary (employer site) - promotional","Low-Medium","MARKETING CLAIM. Self-declared market position with no independent verification located. Treat as positioning, not fact."
"Joe Syer","Publishes a recurring multi-year Banksy market and value report.","Banksy-direct","The Banksy Market & Value Report | Seven Years In The Banksy Print Market","https://www.myartbroker.com/report-the-banksy-market","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: a seven-year analysis of the Banksy print market published by MyArtBroker.","Primary (employer site)","Medium-High","Existence of the report franchise is verifiable from the URL and title; its analytical quality was not assessed."
"Danny Herbert","Is Head of Department for Urban & Contemporary Art at Tate Ward Auctions and a co-owner of the business.","Role/title","Danny Herbert | Tate Ward","https://www.tateward.com/staff/danny-herbert/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Head of Department, Urban & Contemporary Art; Tate Ward was set up by Nigel Shorthouse and Danny Herbert.","Primary (employer site)","Medium-High","Corroborated by his public LinkedIn profile listing him as Co-Owner, Tate Ward Ltd."
"Danny Herbert","Started the Urban Art department at Chiswick Auctions and achieved over GBP 1.3 million hammer in its first year.","Sales performance","Meet the Team | Tate Ward","https://www.tateward.com/meet-the-team/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: started the Urban art department at Chiswick Auctions, achieving over GBP 1.3 million of hammer in his first year.","Primary (employer site)","Medium","SELF-REPORTED by his current employer about a former employer. Not independently audited. A key figure to verify at reference stage."
"Danny Herbert","In one year curated and built 8 auctions in Urban and Contemporary genres selling over GBP 13 million of art.","Sales performance","Danny Herbert | Tate Ward","https://www.tateward.com/staff/danny-herbert/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: last year he curated and built 8 successful auctions within the Urban and Contemporary genres, selling over GBP 13m worth of art.","Primary (employer site)","Medium","SELF-REPORTED and undated - 'last year' is relative to an unknown page-publication date, so this figure may be stale. Also note this is departmental turnover, not personal commission or margin."
"Danny Herbert","Came to the art trade after a 20-year career in financial markets and 10 years of collecting, initially via his own art advisory.","Entrepreneurial","Meet the Team | Tate Ward","https://www.tateward.com/meet-the-team/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: after a 20 year career in financial markets and 10 years of collecting art, he made his passion his business, buying first as a collector and then via his art advisory.","Primary (employer site)","Medium","Self-reported biography."
"Danny Herbert","Tate Ward runs a dedicated Urban Art department selling Banksy alongside Haring, Thierry Noir and Stik.","Banksy-direct","Urban Art | Tate Ward","https://www.tateward.com/departments/urban-art/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: the department features leading international artists such as Banksy, Keith Haring and Thierry Noir.","Primary (employer site)","Medium-High","Corroborated by independent Artsy auction listings for Tate Ward Urban and Contemporary Art sales."
"Acoris Andipa","Is Director of Andipa Gallery, a Knightsbridge gallery established 1967 and a recognised Banksy secondary-market specialist.","Role/title","Andipa | Banksy Gallery London | Est. 1967","https://andipagallery.com/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Andipa is a leading international dealer in modern and contemporary art since 1967, recognised as specialists in the trade of Banksy works; Acoris Andipa is Director.","Primary (employer site)","High","Corroborated by the gallery staff directory and by an independent London Magazine interview."
"Acoris Andipa","States he sold his first Banksy in the mid-2000s and has since sold hundreds of Banksy paintings and thousands of prints.","Sales performance","Interview | Acoris Andipa on Banksy - The London Magazine","https://thelondonmagazine.org/interview-acoris-andipa-on-banksy/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: he sold his first Banksy in the mid-2000s and has since sold hundreds of Banksy paintings and thousands of prints.","Independent publication (interview)","Medium","Independently published but the figures are the subject's own unverified assertion within an interview. Volume claims of this kind cannot be corroborated from public records."
"Acoris Andipa","Andipa staged the first major secondary-market Banksy exhibition, reported at 25,000+ visitors in 2008.","Banksy-direct","An Artist Called Banksy | Andipa Gallery","https://andipa.com/node/2152","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Andipa was the first gallery to put on a major exhibition of Banksy's work in the secondary market; over 25,000 people visited the 2008 exhibition.","Primary (employer site)","Medium","Self-published; visitor figure not independently verified."
